T10349	Hieracium schultesii var. majoriceps Touton
T10350	Hydrosme teuszii Engl.
T10351	Hieracium schultesii subsp. trichastrocephalum Touton
T10352	Eryngium falcatum
T10353	Hieracium schultesii subsp. submegalophyllum Touton
T10354	Hieracium schultesii var. parviceps Touton
T10355	Amorphophallus maximus subsp. fischeri (Engl.) Ittenb.
T10356	Hieracium schultesii var. minoriceps Touton
T10357	Ptychopetalum cuspidatum R.E.Fr.
T10358	Hieracium semiarvicola A.Schlick. & Touton
T10359	Polygonum arenastrum
T10360	Hieracium schultesii subsp. subsilvicola Touton
T10361	Nectandra antillana
T10362	Sonchus asper (L.) Hill subsp. asper
T10363	Ptychopetalum petiolatum var. paniculatum
T10364	Ptychopetalum acuminatissimum Engl.
T10365	Ficus weinlandii
T10366	Licaria parvifolia
T10367	Cinnamomum cubense (Nees) Kosterm.
T10368	Persea krugii Mez
T10369	Licaria triandra
T10370	Cinnamomum triplinerve (Ruiz & Pav.) Kosterm.
T10371	Persea anomala Britton & P.Wilson
T10372	Persea domingensis Mez
T10373	Cryptocarya alba
T10374	Cyperus seslerioides f. minor
T10375	Croton vestitus
T10376	Ocotea odorifera (Vell.) Rohwer
T10377	Ocotea puberula (Rich.) Nees
T10378	Nectandra nitidula
T10379	Eleocharis schaffneri
T10380	Eleocharis exilis Boeck.
T10381	Achillea kotschyi subsp. canescens Bässler
T10382	Muscari flaccidum O.Schwarz
T10383	Achillea nobilis L.
T10384	Icthyothere garcia-barrigae H.Rob.
T10385	Icthyothere eliptica H.Rob.
T10386	Iphionopsis oblanceolata N.Kilian
T10387	Jaegeria glabra (S.Wats.) Robins.
T10388	Jaramilloa sanctae-martae R.M.King & H.Rob.
T10389	Icthyothere petiolata H.Rob.
T10390	Idiothamnus pseudorgyalis R.M.King & H.Rob.
T10391	Ifloga labillardieri subsp. hadidii (Pamp.) Fayed & Zareh
T10392	Inula serpentinica Rech.f. & Goulimy
T10393	Croton gnaphalii Baill.
T10394	Croton helichrysum
T10395	Croton lanuginosus
T10396	Croton macrocalyx
T10397	Croton micans var. argyrophyllus
T10398	Croton montevidensis
T10399	Copaifera langsdorffii
T10400	Copaifera guianensis
T10401	Copaifera gynoglabra
T10402	Bryonia syriaca Boiss.
T10403	Bryonia syriaca
T10404	Bryonia verrucosa
T10405	Plantago linearis var. agrostophylla
T10406	Triglochin maritima L.
T10407	Salvia verbenaca
T10408	Medicago sativa subsp. falcata
T10409	Jurinea monocephala Aitch. & Hemsl.
T10410	Jurinea mollis f. erectobracteata F.Conti
T10411	Jurinea naxia Bornm.
T10412	Croton compressus
T10413	Croton floribundus
T10414	Jurinea modesta Boiss.
T10415	Jurinea dschelalabadensis Bornm.
T10416	Polygonum calcatum
T10417	Centaurea galactochroa Rech.f.
T10418	Centaurea gaubae (Bornm.) Wagenitz
T10419	Centaurea stapfiana (Hand.-Mazz.) Wagenitz
T10420	Polygonum aequale Lindm.
T10421	Centaurea gilanica Bornm.
T10422	Bryonia aspera Stev. ex Ledeb.
T10423	Geranium caeruleatum
T10424	Bryonia acutangulum
T10425	Hypoxis flaccida Bolus
T10426	Puya glomerifera
T10427	Bryonia acuta
T10428	Puya pichinchae
T10429	Ianthe aemulans Nel
T10430	Digitalis lutea subsp. australis
T10431	Pitcairnia sodiroi
T10432	Satureja abyssinica var. condensata
T10433	Pitcairnia elliptica
T10434	Satureja abyssinica
T10435	Clinopodium gracile
T10436	Puya exigua
T10437	Obtegomeria caerulescens (Benth.) Doroszenko & P.D.Cantino
T10438	Satureja biflora
T10439	Satureja simensis
T10440	Satureja alpina subsp. meridionalis
T10441	Satureja weilleri
T10442	Clinopodium confine
T10443	Satureja briquetii
T10444	Satureja viminea
T10445	Centaurea balsamita subsp. kermanensis (Bornm.) Wagenitz
T10446	Satureja wiedemanniana
T10447	Centaurea balsamitoides Post
T10448	Satureja salzmanni
T10449	Centaurea bovina Vel.
T10450	Polygonum monspeliense
T10451	Scorzonera ulrichii Parolly & N.Kilian
T10452	Centaurea bornmuelleri Hausskn. ex Bornm.
T10453	Phellandrium conioides Nolte ex Nyman
T10454	Centaurea bruguierana var. spinosissima Bornm.
T10455	Centaurea cadmea subsp. pontica Wagenitz
T10456	Isachne pulchella Roth
T10457	Lobelia decurrens
T10458	Plagius maghrebinus
T10459	Octoknema borealis
T10460	Oenanthe conioides
T10461	Drimia botryoides Baker
T10462	Oenanthe fluviatilis
T10463	Acinos nanus P.H.Davis & Doroszenko
T10464	Satureja alpina
T10465	Satureja parnassica
T10466	Cyperus marginatus var. blandus
T10467	Cyperus marginatus
T10468	Micromeria kerneri
T10469	Nectandra membranacea (Sw.) Griseb.
T10470	Calamintha simensis
T10471	Satureja coccinea
T10472	Centaurea sibthorpii Halácsy
T10473	Centaurea sieheana Wagenitz
T10474	Centaurea carduiformis var. deinacanthoides Bornm.
T10475	Centaurea spinosa L.
T10476	Gagea pratensis var. pomeranica
T10477	Gagea transversalis
T10478	Centaurea segariensis Figuerda, Peris & Stübing
T10479	Helichrysum viguieri Humbert
T10480	Icthyothere davidsei H.Rob.
T10481	Hyaloseris quadriflora Koster
T10482	Cousinia echinopifolia Bornm.
T10483	Helogyne straminea (DC.) L.B.Rob.
T10484	Hesperomannia bushiana O.Deg.
T10485	Helogyne macrogyne Philippi
T10486	Helogyne apaloidea Nutt.
T10487	Helogyne hutchisonii R.M.King & H.Rob.
T10488	Empodium elongatum (Nel) B.L.Burtt
T10489	Empodium flexile
T10490	Campanula crispa Lam.
T10491	Campanula tomentosa
T10492	Empodium gloriosum (Nel) B.L.Burtt
T10493	Centaurea tossiensis Freyn & Sint. ex Freyn
T10494	Centaurea campylacme Bornm.
T10495	Centaurea takhtajanii Gabrieljan & Ts.R.Tonyan
T10496	Centaurea subciliaris subsp. acarnanica Matthäs
T10497	Nectandra sintenisii
T10498	Nectandra pulchra
T10499	Nectandra patens
